rank,stock_code,stock_name,market,url,scrape_date,current_price,change_value,change_rate
1,412A,(NEXT FUNDS) 台湾イノベイティブ・テクノロジー50,,https://finance.yahoo.co.jp/quote/412A.T,2025-09-22 23:03:59,"2,08015:30",-500-19.38%,"2,080"
2,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅ(株),,https://finance.yahoo.co.jp/quote/4265.T,2025-09-22 23:03:59,57115:30,-100-14.90%,571
