rank,stock_code,stock_name,market,yahoo_url,current_info,ytd_high_info,additional_info
46,1620,(NEXT FUNDS)素材･化学上場投信,,https://finance.yahoo.co.jp/quote/1620.T,"29,87009/19","30,2302025/09/16","30,500"
47,1625,(NEXT FUNDS)電機･精密上場投信,,https://finance.yahoo.co.jp/quote/1625.T,"42,35009/19","42,9002025/09/18","43,400"
48,1629,(NEXT FUNDS)商社･卸売上場投信,,https://finance.yahoo.co.jp/quote/1629.T,"100,25009/19","100,4002025/09/09","101,850"
49,162A,AIセレクトメガトレンド日本株(ネットリターン)ETN,,https://finance.yahoo.co.jp/quote/162A.T,"11,60509/19","11,5652025/09/18","11,630"
50,163A,半導体フォーカス日本株(ネットリターン)ETN,,https://finance.yahoo.co.jp/quote/163A.T,"10,25009/19","10,1652025/09/18","10,350"
51,1653,iFreeETF MSCIジャパンESGセレクト･リーダーズ,,https://finance.yahoo.co.jp/quote/1653.T,"4,04309/19","4,0852025/09/16","4,103"
52,1654,iFreeETF FTSE Blossom Japan Index,,https://finance.yahoo.co.jp/quote/1654.T,"2,59909/19","2,5302025/09/12","2,599"
53,1655,iシェアーズ S&P500 米国株 ETF,,https://finance.yahoo.co.jp/quote/1655.T,70609/19,7042025/09/18,708.7
54,1657,iシェアーズ･コア MSCI 先進国株(除く日本)ETF,,https://finance.yahoo.co.jp/quote/1657.T,"5,86909/19","5,8552025/09/16","5,893"
55,1662,石油資源開発(株),,https://finance.yahoo.co.jp/quote/1662.T,"1,27009/19","1,2912025/09/18","1,310"
56,1680,上場インデックスファンド海外先進国株式,,https://finance.yahoo.co.jp/quote/1680.T,"6,75709/19","6,7362025/09/16","6,785"
57,1681,上場インデックスファンド海外新興国株式,,https://finance.yahoo.co.jp/quote/1681.T,"2,48309/19","2,5002025/09/18","2,505"
58,1698,上場インデックスファンド日本高配当,,https://finance.yahoo.co.jp/quote/1698.T,"3,40809/19","3,4282025/09/09","3,439"
59,1723,日本電技(株),,https://finance.yahoo.co.jp/quote/1723.T,"5,17009/19","5,3902025/08/22","5,420"
60,178A,GX 革新的優良企業,,https://finance.yahoo.co.jp/quote/178A.T,"1,38909/19","1,3892025/09/18","1,397"
61,1801,大成建設(株),,https://finance.yahoo.co.jp/quote/1801.T,"10,33509/19","10,3652025/09/12","10,380"
62,1893,五洋建設(株),,https://finance.yahoo.co.jp/quote/1893.T,"1,15709/19","1,1372025/09/18","1,161"
63,194A,(株)ＷＯＬＶＥＳ　ＨＡＮＤ,,https://finance.yahoo.co.jp/quote/194A.T,"1,03109/19",9782025/08/18,"1,031"
64,2009,鳥越製粉(株),,https://finance.yahoo.co.jp/quote/2009.T,"1,03809/19","1,0502025/09/18","1,057"
65,200A,(NEXT FUNDS) 日経半導体株指数連動型上場投信,,https://finance.yahoo.co.jp/quote/200A.T,"1,96109/19","1,9482025/09/18","2,009"
66,2017,iFreeETF JPXプライム150,,https://finance.yahoo.co.jp/quote/2017.T,"1,21509/19","1,2192025/09/16","1,225"
67,2033,NEXT NOTES 韓国KOSPI･ダブル･ブルETN,,https://finance.yahoo.co.jp/quote/2033.T,"19,29509/19","19,7002025/09/16","20,080"
68,2043,NEXT NOTES STOXX アセアン好配当50(円、NR)ETN,,https://finance.yahoo.co.jp/quote/2043.T,"22,50509/19","22,5502025/09/18","22,675"
69,2067,NEXT NOTES 野村AI ビジネス70(NR)ETN,,https://finance.yahoo.co.jp/quote/2067.T,"23,33509/19","23,3702025/09/16","23,415"
70,2071,スマート ESG30 総合(ネットリターン)ETN,,https://finance.yahoo.co.jp/quote/2071.T,"17,47009/19","17,3552025/09/18","17,470"
71,2083,(NEXT FUNDS) 日本成長株アクティブ,,https://finance.yahoo.co.jp/quote/2083.T,"2,56209/19","2,5802025/09/18","2,600"
72,2086,NZAM 上場投信 S&P500(H有),,https://finance.yahoo.co.jp/quote/2086.T,"2,74109/19","2,7382025/09/16","2,741"
73,2087,NZAM 上場投信 NASDAQ100(H有),,https://finance.yahoo.co.jp/quote/2087.T,"2,96109/19","2,9382025/09/16","2,961"
74,2112,塩水港精糖(株),,https://finance.yahoo.co.jp/quote/2112.T,43809/19,4502025/09/18,452
75,2122,(株)インタースペース,,https://finance.yahoo.co.jp/quote/2122.T,"1,40009/19","1,3902025/09/18","1,483"
76,212A,フィットイージー(株),,https://finance.yahoo.co.jp/quote/212A.T,"3,40009/19","3,3452025/09/18","3,400"
77,213A,上場インデックスファンド日経半導体株,,https://finance.yahoo.co.jp/quote/213A.T,181.509/19,1792025/09/18,185.5
78,2216,カンロ(株),,https://finance.yahoo.co.jp/quote/2216.T,"2,27609/19","2,2002025/08/14","2,323"
79,221A,MAXIS 日経半導体株上場投信,,https://finance.yahoo.co.jp/quote/221A.T,512.809/19,5092025/09/18,525
80,2237,iFreeETF S&P500レバレッジ,,https://finance.yahoo.co.jp/quote/2237.T,"100,15009/19","100,5002025/09/18","100,600"
81,2239,上場インデックスファンドS&P500先物レバレッジ2倍,,https://finance.yahoo.co.jp/quote/2239.T,"21,77009/19","21,8002025/09/16","21,830"
82,223A,GX AI&ビッグデータ,,https://finance.yahoo.co.jp/quote/223A.T,"1,29209/19","1,2942025/09/18","1,299"
83,2243,GX 半導体,,https://finance.yahoo.co.jp/quote/2243.T,"2,21309/19","2,1512025/09/18","2,222"
84,2244,GX US テック・トップ20,,https://finance.yahoo.co.jp/quote/2244.T,"2,83709/19","2,8422025/09/18","2,855"
85,2247,iFreeETF S&P500(H無),,https://finance.yahoo.co.jp/quote/2247.T,"1,83809/19","1,8372025/09/17","1,847"
86,2248,iFreeETF S&P500(H有),,https://finance.yahoo.co.jp/quote/2248.T,"2,45909/19","2,4592025/09/18","2,463"
87,228A,(株)オプロ,,https://finance.yahoo.co.jp/quote/228A.T,"2,32209/19","2,3342025/09/18","2,422"
88,2317,(株)システナ,,https://finance.yahoo.co.jp/quote/2317.T,51309/19,5252025/09/18,530
89,231A.F,Ｃｒｏｓｓ　Ｅホールディングス(株),,https://finance.yahoo.co.jp/quote/231A.F,"1,22109/19","1,2102025/09/17","1,227"
90,2354,(株)ＹＥ　ＤＩＧＩＴＡＬ,,https://finance.yahoo.co.jp/quote/2354.T,73709/19,7182025/09/18,748
91,2359,(株)コア,,https://finance.yahoo.co.jp/quote/2359.T,"2,09209/19","2,0962025/09/11","2,110"
92,2378,(株)ルネサンス,,https://finance.yahoo.co.jp/quote/2378.T,"1,25309/19","1,2532025/09/18","1,264"
93,2513,(NEXT FUNDS)外国株式･MSCI-KOKUSAI(H無),,https://finance.yahoo.co.jp/quote/2513.T,"2,891.509/19","2,8822025/09/16","2,904"
94,2518,(NEXT FUNDS) MSCI日本株女性活躍(セレクト)上場投信,,https://finance.yahoo.co.jp/quote/2518.T,"1,79209/19","1,8052025/09/16","1,809"
95,2520,(NEXT FUNDS)新興国株式･MSCI EM･(H無),,https://finance.yahoo.co.jp/quote/2520.T,"1,726.509/19","1,7382025/09/18","1,745"
96,2521,上場インデックスファンド米国株式(S&P500)H有,,https://finance.yahoo.co.jp/quote/2521.T,"1,93809/19","1,9392025/09/18","1,942"
97,2522,iシェアーズ オートメーション&ロボット ETF,,https://finance.yahoo.co.jp/quote/2522.T,"6,13909/19","6,1502025/01/24","6,200"
98,2524,NZAM 上場投信 TOPIX,,https://finance.yahoo.co.jp/quote/2524.T,"3,20309/19","3,2252025/09/16","3,239"
99,2525,NZAM 上場投信 日経225,,https://finance.yahoo.co.jp/quote/2525.T,"45,15009/19","45,7002025/09/18","46,120"
100,2526,NZAM 上場投信 JPX日経400,,https://finance.yahoo.co.jp/quote/2526.T,"28,48509/19","28,8002025/09/16","29,050"
