rank,stock_code,stock_name,market,yahoo_url,current_info,ytd_low_info,additional_info,company_name,sector,industry,current_price,ytd_low,ytd_low_date,ytd_high,ytd_high_date,year_start_price,ytd_return_pct,low_decline_pct,recovery_from_low_pct,max_drawdown_pct,sma_20,sma_50,volatility_pct,market_cap,pe_ratio,pb_ratio,volume,avg_volume,dividend_yield,recovery_score
16,2041,NEXT NOTES NYダウ･ベア･ドルヘッジ ETN,,https://finance.yahoo.co.jp/quote/2041.T,"2,20609/19","2,2022025/09/18","2,198",NEXT NOTES DJIA TR JPY-Monthly Hedged Inverse (x1) ETN,N/A,N/A,2206.0,2198.0,2025-09-19,2211.0,2025-09-19,2206.0,0.0,-0.36,0.36,-0.59,2206.0,2206.0,,N/A,N/A,N/A,4577,29293,N/A,50
17,2092,NZAM 上場投信 フランス国債7-10年(H有),,https://finance.yahoo.co.jp/quote/2092.T,"4,77009/19","4,8402025/04/08","4,770",NZAM ETF France Government Bond 7-10Y (JPY Hedged),N/A,N/A,4770.0,4770.0,2025-09-19,5165.4,2024-11-29,4830.04,-1.24,-1.24,0.0,-7.65,4855.5,4858.2,8.61,N/A,N/A,N/A,540,8,2.11,65
18,2249,iFreeETF S&P500ダブルインバース,,https://finance.yahoo.co.jp/quote/2249.T,"12,49509/19","12,4652025/09/18","12,410","Daiwa Asset Management Co., Ltd.- iFreeETF S&P 500 Double Inverse Fund",N/A,N/A,12495.0,12410.0,2025-09-19,25059.94,2025-04-07,18096.91,-30.96,-31.42,0.68,-50.48,12947.87,13312.42,42.71,N/A,N/A,N/A,5263,6929,0.0,55
19,236A,iシェアーズ 日本国債7-10年,,https://finance.yahoo.co.jp/quote/236A.T,474.609/19,4752025/08/27,474.6,iShares 7-10 Year Japan Government Bond ETF,N/A,N/A,474.6,472.56,2025-03-26,557.16,2024-12-30,497.09,-4.52,-4.93,0.43,-15.18,476.51,477.45,4.68,N/A,N/A,N/A,2720,6096,0.9,65
20,2484,(株)出前館,,https://finance.yahoo.co.jp/quote/2484.T,16009/19,1612025/09/12,160,"Demae-Can Co.,Ltd",Consumer Cyclical,Internet Retail,160.0,160.0,2025-09-19,304.0,2024-10-16,259.0,-38.22,-38.22,0.0,-47.37,171.9,183.16,43.27,17868374016,N/A,0.58614284,1020300,887874,N/A,70
21,2510,(NEXT FUNDS)国内債券・NOMURA-BPI総合,,https://finance.yahoo.co.jp/quote/2510.T,857.609/19,8572025/09/04,855.5,NEXT FUNDS Japan Bond NOMURA-BPI Exchange Traded Fund,N/A,N/A,857.6,853.32,2025-09-04,913.36,2025-05-08,904.88,-5.23,-5.7,0.5,-6.57,858.04,860.64,9.48,N/A,N/A,N/A,125330,79318,0.78,65
22,2842,iFreeETF NASDAQ100インバース,,https://finance.yahoo.co.jp/quote/2842.T,"14,67509/19","14,7102025/09/18","14,650",iFreeETF NASDAQ100 Inverse,N/A,N/A,14675.0,14650.0,2025-09-19,22100.0,2025-04-07,18780.0,-21.86,-21.99,0.17,-33.71,15110.75,15286.5,27.58,N/A,N/A,N/A,3206,3520,0.0,55
23,2870,iFreeETF NASDAQ100ダブルインバース,,https://finance.yahoo.co.jp/quote/2870.T,"11,52009/19","11,5552025/09/18","11,460",iFreeETF NASDAQ100 Double Inverse(-2x),N/A,N/A,11520.0,11460.0,2025-09-19,27119.4,2025-04-07,20627.3,-44.15,-44.44,0.52,-57.74,12212.14,12496.26,49.75,N/A,N/A,N/A,22032,24178,0.24,65
24,5138,(株)Ｒｅｂａｓｅ,,https://finance.yahoo.co.jp/quote/5138.T,"1,18009/19","1,1812025/04/07","1,178","Rebase, Inc.",Communication Services,Internet Content & Information,1180.0,943.0,2024-10-23,1888.0,2025-02-17,1150.0,2.61,-18.0,25.13,-50.05,1262.75,1318.9,49.94,5796938752,16.026077,4.6338477,7600,8491,N/A,65
25,6577,(株)ベストワンドットコム,,https://finance.yahoo.co.jp/quote/6577.T,"2,16309/19","2,2302025/09/18","2,150","Bestone.Com Co.,Ltd",Consumer Cyclical,Travel Services,2163.0,2150.0,2025-09-19,3484.93,2024-09-19,3430.25,-36.94,-37.32,0.6,-38.31,2285.0,2391.3,37.01,3268100608,9.71829,2.8516095,31000,12833,0.92,75
